"","B11003_003E","B11003_001E","NAME","state","county","tract","block group"
"133","23","189","Block Group 1, Census Tract 27.02, District of Columbia, District of Columbia","11","001","002702","1"
"134","200","401","Block Group 2, Census Tract 27.02, District of Columbia, District of Columbia","11","001","002702","2"
"135","72","289","Block Group 3, Census Tract 27.02, District of Columbia, District of Columbia","11","001","002702","3"
"136","9","124","Block Group 1, Census Tract 28.01, District of Columbia, District of Columbia","11","001","002801","1"
"137","78","573","Block Group 2, Census Tract 28.01, District of Columbia, District of Columbia","11","001","002801","2"
"138","42","379","Block Group 1, Census Tract 28.02, District of Columbia, District of Columbia","11","001","002802","1"
"139","32","233","Block Group 2, Census Tract 28.02, District of Columbia, District of Columbia","11","001","002802","2"
"140","40","309","Block Group 1, Census Tract 29, District of Columbia, District of Columbia","11","001","002900","1"
"141","126","382","Block Group 2, Census Tract 29, District of Columbia, District of Columbia","11","001","002900","2"
"142","59","164","Block Group 1, Census Tract 30, District of Columbia, District of Columbia","11","001","003000","1"
"143","17","388","Block Group 2, Census Tract 30, District of Columbia, District of Columbia","11","001","003000","2"
"144","93","462","Block Group 1, Census Tract 31, District of Columbia, District of Columbia","11","001","003100","1"
"145","15","164","Block Group 1, Census Tract 32, District of Columbia, District of Columbia","11","001","003200","1"
"146","26","110","Block Group 2, Census Tract 32, District of Columbia, District of Columbia","11","001","003200","2"
"147","29","326","Block Group 3, Census Tract 32, District of Columbia, District of Columbia","11","001","003200","3"
"148","42","312","Block Group 4, Census Tract 32, District of Columbia, District of Columbia","11","001","003200","4"
"149","67","167","Block Group 1, Census Tract 33.01, District of Columbia, District of Columbia","11","001","003301","1"
"150","26","191","Block Group 2, Census Tract 33.01, District of Columbia, District of Columbia","11","001","003301","2"
"151","0","104","Block Group 3, Census Tract 33.01, District of Columbia, District of Columbia","11","001","003301","3"
"152","18","379","Block Group 1, Census Tract 33.02, District of Columbia, District of Columbia","11","001","003302","1"
"153","65","149","Block Group 2, Census Tract 33.02, District of Columbia, District of Columbia","11","001","003302","2"
"154","9","172","Block Group 1, Census Tract 34, District of Columbia, District of Columbia","11","001","003400","1"
"155","112","393","Block Group 2, Census Tract 34, District of Columbia, District of Columbia","11","001","003400","2"
"156","30","272","Block Group 1, Census Tract 35, District of Columbia, District of Columbia","11","001","003500","1"
"157","0","113","Block Group 2, Census Tract 35, District of Columbia, District of Columbia","11","001","003500","2"
"158","23","360","Block Group 1, Census Tract 36, District of Columbia, District of Columbia","11","001","003600","1"
"159","30","154","Block Group 2, Census Tract 36, District of Columbia, District of Columbia","11","001","003600","2"
"160","33","140","Block Group 3, Census Tract 36, District of Columbia, District of Columbia","11","001","003600","3"
"161","47","285","Block Group 1, Census Tract 37, District of Columbia, District of Columbia","11","001","003700","1"
"162","13","262","Block Group 2, Census Tract 37, District of Columbia, District of Columbia","11","001","003700","2"
"163","12","157","Block Group 3, Census Tract 37, District of Columbia, District of Columbia","11","001","003700","3"
"164","52","218","Block Group 1, Census Tract 38, District of Columbia, District of Columbia","11","001","003800","1"
"165","50","235","Block Group 2, Census Tract 38, District of Columbia, District of Columbia","11","001","003800","2"
"166","0","128","Block Group 3, Census Tract 38, District of Columbia, District of Columbia","11","001","003800","3"
"167","68","205","Block Group 1, Census Tract 39, District of Columbia, District of Columbia","11","001","003900","1"
"168","21","124","Block Group 2, Census Tract 39, District of Columbia, District of Columbia","11","001","003900","2"
"169","32","177","Block Group 3, Census Tract 39, District of Columbia, District of Columbia","11","001","003900","3"
"170","68","202","Block Group 4, Census Tract 39, District of Columbia, District of Columbia","11","001","003900","4"
"171","17","160","Block Group 1, Census Tract 40.01, District of Columbia, District of Columbia","11","001","004001","1"
"172","0","74","Block Group 2, Census Tract 40.01, District of Columbia, District of Columbia","11","001","004001","2"
"173","75","244","Block Group 3, Census Tract 40.01, District of Columbia, District of Columbia","11","001","004001","3"
"174","16","78","Block Group 1, Census Tract 40.02, District of Columbia, District of Columbia","11","001","004002","1"
"175","34","167","Block Group 2, Census Tract 40.02, District of Columbia, District of Columbia","11","001","004002","2"
"176","19","47","Block Group 3, Census Tract 40.02, District of Columbia, District of Columbia","11","001","004002","3"
"177","22","133","Block Group 1, Census Tract 41, District of Columbia, District of Columbia","11","001","004100","1"
"178","20","163","Block Group 2, Census Tract 41, District of Columbia, District of Columbia","11","001","004100","2"
"179","42","197","Block Group 3, Census Tract 41, District of Columbia, District of Columbia","11","001","004100","3"
"180","18","142","Block Group 1, Census Tract 42.01, District of Columbia, District of Columbia","11","001","004201","1"
"181","24","154","Block Group 2, Census Tract 42.01, District of Columbia, District of Columbia","11","001","004201","2"
"182","16","124","Block Group 1, Census Tract 42.02, District of Columbia, District of Columbia","11","001","004202","1"
"183","26","113","Block Group 2, Census Tract 42.02, District of Columbia, District of Columbia","11","001","004202","2"
"184","28","279","Block Group 1, Census Tract 43, District of Columbia, District of Columbia","11","001","004300","1"
"185","32","90","Block Group 2, Census Tract 43, District of Columbia, District of Columbia","11","001","004300","2"
"186","50","262","Block Group 1, Census Tract 44, District of Columbia, District of Columbia","11","001","004400","1"
"187","113","259","Block Group 2, Census Tract 44, District of Columbia, District of Columbia","11","001","004400","2"
"188","19","190","Block Group 1, Census Tract 46, District of Columbia, District of Columbia","11","001","004600","1"
"189","15","379","Block Group 2, Census Tract 46, District of Columbia, District of Columbia","11","001","004600","2"
"190","37","254","Block Group 1, Census Tract 47.01, District of Columbia, District of Columbia","11","001","004701","1"
"191","42","369","Block Group 2, Census Tract 47.01, District of Columbia, District of Columbia","11","001","004701","2"
"192","0","181","Block Group 1, Census Tract 47.02, District of Columbia, District of Columbia","11","001","004702","1"
"193","27","217","Block Group 1, Census Tract 48.01, District of Columbia, District of Columbia","11","001","004801","1"
"194","0","186","Block Group 1, Census Tract 48.02, District of Columbia, District of Columbia","11","001","004802","1"
"195","58","315","Block Group 2, Census Tract 48.02, District of Columbia, District of Columbia","11","001","004802","2"
"196","81","337","Block Group 1, Census Tract 49.01, District of Columbia, District of Columbia","11","001","004901","1"
"197","65","130","Block Group 2, Census Tract 49.01, District of Columbia, District of Columbia","11","001","004901","2"
"198","22","146","Block Group 1, Census Tract 49.02, District of Columbia, District of Columbia","11","001","004902","1"
"199","55","330","Block Group 2, Census Tract 49.02, District of Columbia, District of Columbia","11","001","004902","2"
"200","76","110","Block Group 1, Census Tract 50.01, District of Columbia, District of Columbia","11","001","005001","1"
"201","25","121","Block Group 2, Census Tract 50.01, District of Columbia, District of Columbia","11","001","005001","2"
"202","119","370","Block Group 1, Census Tract 50.02, District of Columbia, District of Columbia","11","001","005002","1"
"203","0","327","Block Group 2, Census Tract 50.02, District of Columbia, District of Columbia","11","001","005002","2"
"204","55","210","Block Group 3, Census Tract 50.02, District of Columbia, District of Columbia","11","001","005002","3"
"205","64","79","Block Group 4, Census Tract 50.02, District of Columbia, District of Columbia","11","001","005002","4"
"206","0","67","Block Group 1, Census Tract 52.01, District of Columbia, District of Columbia","11","001","005201","1"
"207","20","104","Block Group 2, Census Tract 52.01, District of Columbia, District of Columbia","11","001","005201","2"
"208","13","103","Block Group 3, Census Tract 52.01, District of Columbia, District of Columbia","11","001","005201","3"
"209","49","162","Block Group 4, Census Tract 52.01, District of Columbia, District of Columbia","11","001","005201","4"
"210","103","175","Block Group 1, Census Tract 53.01, District of Columbia, District of Columbia","11","001","005301","1"
"211","76","182","Block Group 2, Census Tract 53.01, District of Columbia, District of Columbia","11","001","005301","2"
"212","0","85","Block Group 3, Census Tract 53.01, District of Columbia, District of Columbia","11","001","005301","3"
"213","0","141","Block Group 4, Census Tract 53.01, District of Columbia, District of Columbia","11","001","005301","4"
"214","51","114","Block Group 1, Census Tract 55, District of Columbia, District of Columbia","11","001","005500","1"
