school_code,school_name,cluster,count
213,Brightwood EC,Cluster 20,-1
213,Brightwood EC,Cluster 22,-1
213,Brightwood EC,Cluster 23,-1
213,Brightwood EC,Cluster 29,-1
213,Brightwood EC,Cluster 31,-1
213,Brightwood EC,Cluster 33,-1
213,Brightwood EC,Cluster 8,-1
213,Brightwood EC,Cluster 9,-1
213,Brightwood EC,UNENCODABLE,-1
346,Brookland EC at Bunker Hill,Cluster 17,-1
346,Brookland EC at Bunker Hill,Cluster 18,-1
346,Brookland EC at Bunker Hill,Cluster 19,46
346,Brookland EC at Bunker Hill,Cluster 2,-1
346,Brookland EC at Bunker Hill,Cluster 20,129
346,Brookland EC at Bunker Hill,Cluster 21,20
346,Brookland EC at Bunker Hill,Cluster 22,22
346,Brookland EC at Bunker Hill,Cluster 23,-1
346,Brookland EC at Bunker Hill,Cluster 24,-1
346,Brookland EC at Bunker Hill,Cluster 25,-1
346,Brookland EC at Bunker Hill,Cluster 26,-1
346,Brookland EC at Bunker Hill,Cluster 28,-1
346,Brookland EC at Bunker Hill,Cluster 30,-1
346,Brookland EC at Bunker Hill,Cluster 31,-1
346,Brookland EC at Bunker Hill,Cluster 32,-1
346,Brookland EC at Bunker Hill,Cluster 33,-1
346,Brookland EC at Bunker Hill,Cluster 34,-1
346,Brookland EC at Bunker Hill,Cluster 38,-1
346,Brookland EC at Bunker Hill,Cluster 8,-1
346,Brookland EC at Bunker Hill,UNENCODABLE,18
404,Browne EC,Cluster 18,-1
404,Browne EC,Cluster 21,-1
404,Browne EC,Cluster 22,-1
404,Browne EC,Cluster 23,200
404,Browne EC,Cluster 24,-1
404,Browne EC,Cluster 25,48
404,Browne EC,Cluster 26,-1
404,Browne EC,Cluster 28,-1
404,Browne EC,Cluster 29,-1
404,Browne EC,Cluster 30,-1
404,Browne EC,Cluster 31,14
404,Browne EC,Cluster 32,25
404,Browne EC,Cluster 33,15
404,Browne EC,Cluster 34,-1
404,Browne EC,Cluster 35,-1
404,Browne EC,Cluster 36,-1
404,Browne EC,Cluster 37,-1
404,Browne EC,Cluster 38,-1
404,Browne EC,Cluster 39,-1
404,Browne EC,Cluster 9,-1
404,Browne EC,UNENCODABLE,-1
296,Bruce Monroe ES at Park View,Cluster 1,-1
296,Bruce Monroe ES at Park View,Cluster 10,-1
296,Bruce Monroe ES at Park View,Cluster 16,-1
296,Bruce Monroe ES at Park View,Cluster 17,19
296,Bruce Monroe ES at Park View,Cluster 18,62
296,Bruce Monroe ES at Park View,Cluster 19,24
296,Bruce Monroe ES at Park View,Cluster 2,278
296,Bruce Monroe ES at Park View,Cluster 20,-1
296,Bruce Monroe ES at Park View,Cluster 21,-1
296,Bruce Monroe ES at Park View,Cluster 22,10
296,Bruce Monroe ES at Park View,Cluster 23,-1
296,Bruce Monroe ES at Park View,Cluster 24,-1
296,Bruce Monroe ES at Park View,Cluster 25,-1
296,Bruce Monroe ES at Park View,Cluster 3,-1
